input_name,preferred_name,cas,pubchem_cid,formula,molecular_weight,canonical_smiles,inchikey,identity_status,tm_C,tb_C,tc_C,pc_MPa,pvap_25C_kPa,pvap_25C_status,pvap_40C_kPa,pvap_40C_status,pvap_60C_kPa,pvap_60C_status,phase_25C_1atm,supply_class,gwp100_ar6,gwp100_ar6_status,gwp100_ar6_source,pfas_flag,pfas_basis,pfas_list_hits,persistence_screen,persistence_basis,reactive_groups,reactivity_flags,ghs_physical_h_codes,kinetics_coverage,kinetics_sources,data_quality,review_required,candidate_id,candidate_source,candidate_family,generation_rule,parent_candidate_id,structure_status,structure_status_reason,heavy_atom_count,element_symbols,amine_class,amine_class_label,amine_detail,amine_substituents,amine_substituent_profile,amine_substituent_count,fluorinated_amine,fluorinated_substituent_count,amine_fluorination_level,unsaturated_amine,cyclic_amine_or_substituent,ring_name,precursor_family,semiconductor_process_roles,semiconductor_relevance_basis,candidate_scope
triethylamine,triethylamine,121-44-8,,C6H15N,101.19300000000001,CCN(CC)CC,,manual_review_required,-114.69999999999999,88.85000000000002,261.85,3.04,7.2,value_available,14.0,value_available,33.0,value_available,liquid,heated_source_likely,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Amines / basic nitrogen compounds; Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review,H225,partial,AtmVOC/NIST candidate,Partial,True,8caadafb-46c7-5f56-85d4-512f9627637c,seed,amine,seed_list,,valid,RDKit is not installed; normalized with lightweight SMILES parser,7,C;N,tertiary,tertiary_amine,tertiary_amine,ethyl; ethyl; ethyl,alkyl,3,no,0,none,no,no,,,,,
carbon tetrafluoride,carbon tetrafluoride,75-73-0,,CF4,88.003,FC(F)(F)F,,manual_review_required,-183.58999999999997,-128.04999999999998,-45.639999999999986,3.74,,not_applicable_above_Tc,,not_applicable_above_Tc,,not_applicable_above_Tc,gas_or_supercritical,compressed_or_liquefied_gas,7380.0,selected,GWP_local,yes,structure_rule,,likely_persistent,PFAS structure/list screening positive,,,,partial,LXCat/QDB candidate,Partial,True,d3ba48fa-15d6-59aa-9f34-878374d748ec,seed,fluorocarbon,seed_list,,valid,RDKit is not installed; normalized with lightweight SMILES parser,5,C;F,,unknown_amine,,,,,,,,,,,,,,
silane,silane,7803-62-5,,H4Si,32.117000000000004,[SiH4],,manual_review_required,-184.66999999999996,-111.99999999999997,-3.4499999999999886,4.84,,not_applicable_above_Tc,,not_applicable_above_Tc,,not_applicable_above_Tc,gas_or_supercritical,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Silanes / reducing gases,pyrophoric_or_highly_flammable_review; reducing,H220; H250,not_checked,,Partial,True,ff6649c3-5aba-5201-8f27-029f604fbd12,seed,inorganic,seed_list,,valid,RDKit is not installed; normalized with lightweight SMILES parser,1,Si,,unknown_amine,,,,,,,,,,,,,,
nitrogen,nitrogen,7727-37-9,,N2,28.014,N#N,,manual_review_required,-209.99999999999997,-195.78999999999996,-146.95999999999998,3.3958,,not_applicable_above_Tc,,not_applicable_above_Tc,,not_applicable_above_Tc,gas_or_supercritical,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,,,,not_checked,,Partial,True,bf6cd717-cd35-54f7-84dd-416b589cbcd0,seed,inorganic,seed_list,,valid,RDKit is not installed; normalized with lightweight SMILES parser,2,N,,unknown_amine,,,,,,,,,,,,,,
hydrogen fluoride,hydrogen fluoride,7664-39-3,,FH,20.006,[H]F,,manual_review_required,-83.54999999999998,19.55000000000001,188.0,6.48,122.0,value_available,198.0,value_available,364.0,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Hydrogen halides / acids,acid_base_reactive; corrosive_review,H290,not_checked,,Partial,True,6dca4082-b51f-5e48-8245-0a1a7b060552,seed,inorganic,seed_list,,valid,RDKit is not installed; normalized with lightweight SMILES parser,1,F;H,,unknown_amine,,,,,,,,,,,,,,
ammonia,ammonia,7664-41-7,,H3N,17.031,N,,manual_review_required,-77.74999999999997,-33.349999999999966,115.39682000000005,5.1752365,2518.190949239,value_available,4739.964322173,value_available,8000.0,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Inorganic nitrogen source,acid_base_reactive; semiconductor_process_candidate_review,,not_checked,,Partial,True,fcd2825c-c124-573c-ae52-53d9ddee2e1f,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,1,N,inorganic_nitrogen_source,inorganic_nitrogen_source,inorganic_nitrogen_source_amine,,,0,no,0,none,no,no,,nitrogen_source,nitridation; ald_nitrogen_source; chamber_clean_review,common semiconductor nitrogen-containing process gas,semiconductor_amine_curated
methylamine,methylamine,74-89-5,,CH5N,31.058,CN,,manual_review_required,-178.14999999999998,-34.774599999999964,117.05816000000004,5.056007,3156.158389203,value_available,6087.50372943,value_available,8000.0,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,b8702779-98e6-5bae-ab30-f32f679937b7,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,2,C;N,primary,primary_amine,primary_amine,methyl,alkyl,1,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,small volatile primary amine,semiconductor_amine_curated
dimethylamine,dimethylamine,124-40-3,,C2H7N,45.085,CNC,,manual_review_required,-165.93269999999998,-4.539499999999975,150.37920000000003,4.9367775,484.1685938,value_available,956.9100193329999,value_available,2157.3727794690003,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Secondary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,537bf6cf-8aa5-5491-af43-205806523044,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,3,C;N,secondary,secondary_amine,secondary_amine,methyl; methyl,alkyl,2,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,small volatile secondary amine,semiconductor_amine_curated
trimethylamine,trimethylamine,75-50-3,,C3H9N,59.112,CN(C)C,,manual_review_required,-146.57543999999996,13.695600000000013,171.70024,4.817548,181.075331022,value_available,366.714270936,value_available,851.183712251,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Tertiary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,5fe180cf-7f23-5ebf-a382-d1b761b8f322,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,4,C;N,tertiary,tertiary_amine,tertiary_amine,methyl; methyl; methyl,alkyl,3,no,0,none,no,no,,volatile_amine,volatile_base_candidate; surface_chemistry_modifier,small volatile tertiary amine,semiconductor_amine_curated
ethylamine,ethylamine,75-04-7,,C2H7N,45.085,CCN,,manual_review_required,-165.93269999999998,-4.539499999999975,150.37920000000003,4.9367775,484.1685938,value_available,956.9100193329999,value_available,2157.3727794690003,value_available,gas,compressed_or_liquefied_gas,,missing,,no,structure_rule_negative_and_no_local_list_hit,,unknown,no validated persistence model configured in MVP,Primary amines / basic nitrogen compounds,acid_base_reactive; combustible_or_flammable_review; semiconductor_process_candidate_review,,not_checked,,Partial,True,b29e2639-67d6-5218-b4b0-9a1223b200d0,semiconductor_amine,amine,semiconductor_amine_curated,,valid,RDKit is not installed; normalized with lightweight SMILES parser,3,C;N,primary,primary_amine,primary_amine,ethyl,alkyl,1,no,0,none,no,no,,volatile_amine,nitrogen_source_candidate; volatile_base_candidate,small volatile primary amine,semiconductor_amine_curated
